,city,country,continent,total_score,cost_of_life,remote_workers,internet,fun,nightlife,safety,lack_of_crime,walkability,racism,foreigners_friendly,freedom_of_speech,female_friendly,LGBTQ_friendly,english_speaking,latitude,longitude,near_beach,photo
0,Lisbon,Portugal,Europe,4.69,2489,3169.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,38.7077507,-9.1365919,Yes,https://nomadlist.com/assets/img/places/lisbon-portugal.jpg?1657497664
1,Miami,United States,North America,4.65,5082,1098.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,25.7741728,-80.19362,Yes,https://nomadlist.com/assets/img/places/miami-fl-united-states.jpg?1642528503
2,Gran Canaria,Spain,Europe,4.84,1683,958.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,27.9580004,-15.6062305376665,Yes,https://nomadlist.com/assets/img/places/gran-canaria-canary-islands-spain.jpg?1642528501
3,Budapest,Hungary,Europe,4.69,1070,1944.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,47.4979937,19.0403594,No,https://nomadlist.com/assets/img/places/budapest-hungary.jpg?1643932879
4,Austin,United States,North America,4.52,4006,1114.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,30.2711286,-97.7436995,No,https://nomadlist.com/assets/img/places/austin-tx-united-states.jpg?1642528503
5,Porto,Portugal,Europe,4.6,2126,1225.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,41.1494512,-8.6107884,Yes,https://nomadlist.com/assets/img/places/porto-portugal.jpg?1642550423
6,Buenos Aires,Argentina,Latin America,4.58,907,1124.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-34.6075682,-58.4370894,No,https://nomadlist.com/assets/img/places/buenos-aires-argentina.jpg?1650931254
7,Tbilisi,Georgia,Europe,4.42,1330,1267.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Bad,41.6934591,44.8014495,No,https://nomadlist.com/assets/img/places/tbilisi-georgia.jpg?1653004839
8,Chiang Mai,Thailand,Asia,4.38,954,2956.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,18.7882778,98.9858802,No,https://nomadlist.com/assets/img/places/chiang-mai-thailand.jpg?1652400061
9,Sofia,Bulgaria,Europe,4.42,1299,840.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,42.6978634,23.3221789,No,https://nomadlist.com/assets/img/places/sofia-bulgaria.jpg?1644019313
10,Warsaw,Poland,Europe,4.46,1751,1125.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,52.2319581,21.0067249,No,https://nomadlist.com/assets/img/places/warsaw-poland.jpg?1653004840
11,Bangkok,Thailand,Asia,4.24,1284,3556.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,13.7525438,100.4934734,No,https://nomadlist.com/assets/img/places/bangkok-thailand.jpg?1644710446
12,Belgrade,Serbia,Europe,4.41,1492,1007.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,44.8178131,20.4568974,No,https://nomadlist.com/assets/img/places/belgrade-serbia.jpg?1655337735
13,Istanbul,Turkey,Europe,4.33,1131,1573.0,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,Bad,Bad,41.0091982,28.9662187,Yes,https://nomadlist.com/assets/img/places/istanbul-turkey.jpg?1653091252
14,Phuket,Thailand,Asia,4.33,1233,1241.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,7.9366015,98.3529292,Yes,https://nomadlist.com/assets/img/places/phuket-thailand.jpg?1644796846
15,Madeira,Portugal,Europe,4.34,2184,789.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,32.75174875,-16.98175204884736,Yes,https://nomadlist.com/assets/img/places/madeira-portugal.jpg?1642896037
16,Ko Pha Ngan,Thailand,Asia,4.43,1015,808.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,9.734950300000001,100.0305710845208,Yes,https://nomadlist.com/assets/img/places/ko-pha-ngan-thailand.jpg?1645574436
17,Da Nang,Vietnam,Asia,4.35,1020,835.0,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,16.068,108.212,Yes,https://nomadlist.com/assets/img/places/da-nang-vietnam.jpg?1653004861
18,Mexico City,Mexico,Latin America,4.43,1522,2617.0,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,19.4326296,-99.1331785,No,https://nomadlist.com/assets/img/places/mexico-city-mexico.jpg?1642636855
19,Prague,Czechia,Europe,4.36,2830,1570.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,50.0874654,14.4212535,No,https://nomadlist.com/assets/img/places/prague-czechia.jpg?1643587247
20,Cape Town,South Africa,Africa,4.07,1718,763.0,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,-33.928992,18.417396,Yes,https://nomadlist.com/assets/img/places/cape-town-south-africa.jpg?1644278450
21,Seoul,South Korea,Asia,4.34,2208,1076.0,Good,Good,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,37.5666791,126.9782914,No,https://nomadlist.com/assets/img/places/seoul-south-korea.jpg?1655251235
22,Singapore,Singapore,Asia,4.29,3540,1985.0,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Good,1.357107,103.8194992,Yes,https://nomadlist.com/assets/img/places/singapore-singapore.jpg?1653004870
23,Toronto,Canada,North America,4.27,3467,948.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,43.6534817,-79.3839347,No,https://nomadlist.com/assets/img/places/toronto-canada.jpg?1656633769
24,Timisoara,Romania,Europe,4.17,1262,286.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,45.7538355,21.2257474,No,https://nomadlist.com/assets/img/places/timisoara-romania.jpg?1653350503
25,Berlin,Germany,Europe,4.21,4065,3032.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,52.5170365,13.3888599,No,https://nomadlist.com/assets/img/places/berlin-germany.jpg?1652313673
26,Stockholm,Sweden,Europe,4.19,3621,1230.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,59.3251172,18.0710935,No,https://nomadlist.com/assets/img/places/stockholm-sweden.jpg?1643500918
27,Valencia,Spain,Europe,4.25,2823,1064.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,39.4697065,-0.3763353,Yes,https://nomadlist.com/assets/img/places/valencia-spain.jpg?1653091267
28,Split,Croatia,Europe,4.09,3236,992.0,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,Good,43.5116383,16.4399659,Yes,https://nomadlist.com/assets/img/places/split-croatia.jpg?1642528927
29,Sao Paulo,Brazil,Latin America,4.29,1425,1151.0,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,-23.5506507,-46.6333824,Yes,https://nomadlist.com/assets/img/places/sao-paulo-brazil.jpg?1651536053
30,Canggu,Indonesia,Asia,4.45,1445,2627.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,-7.4299703,112.4630970045579,Yes,https://nomadlist.com/assets/img/places/canggu-bali-indonesia.jpg?1642528503
31,Krakow,Poland,Europe,4.19,1728,857.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,50.0619474,19.9368564,No,https://nomadlist.com/assets/img/places/krakow-poland.jpg?1656374477
32,Bengaluru,India,Asia,3.97,715,443.0,Good,Bad,Bad,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,12.9767936,77.590082,No,https://nomadlist.com/assets/img/places/bengaluru-india.jpg?1642528508
